id,lp,v,gtt,gtn,ggn,ts,tp,t48,t1,t2,p48,p1,p2,pexh,tic,mf,decay_coeff_comp,decay_coeff_turbine
3816,8.22,24,54250.42,3108.68,9401.58,471.75,471.75,953.83,288,737.11,3.69,1,18.96,1.04,65.47,1.3,0.97,0.98
3817,6.21,18,41586.99,2656.85,8574.11,363.01,363.01,839.15,288,689.4,3.07,1,15.78,1.04,58.26,1.04,0.97,0.98
3818,4.18,12,25596.91,2078.87,7736.35,225.01,225.01,700.06,288,631.22,2.28,1,11.77,1.03,43.22,0.69,0.97,0.98
3819,2.12,6,4133.95,1354.32,6846.46,30.11,30.11,533.76,288,564.78,1.24,1,6.7,1.02,17.21,0.18,0.97,0.98
3820,3.13,9,8708.57,1429.28,7221.84,66.03,66.03,585.21,288,584.26,1.42,1,7.66,1.02,15.34,0.25,0.97,0.98
3821,4.15,12,14911.04,1619.51,7784.65,116.46,116.46,651.29,288,610.68,1.71,1,9.2,1.02,18.52,0.37,0.97,0.98
3822,5.16,15,22048.49,1926.42,8359.17,178.42,178.42,714.94,288,639.94,2.08,1,11.12,1.03,25.92,0.51,0.97,0.98
3823,6.15,18,30137.15,2303.29,8811.43,251.24,251.24,777.82,288,668.1,2.52,1,13.33,1.03,34.98,0.69,0.97,0.98
3824,7.18,21,39924.7,2691.03,9086.51,338.86,338.86,850.48,288,699.81,3.02,1,15.8,1.04,46.82,0.93,0.97,0.98
3825,8.22,24,54250.36,3108.68,9402.16,471.81,471.81,952.84,288,736.95,3.69,1,18.93,1.04,65.38,1.29,0.97,0.98
3826,6.21,18,41395.02,2666.59,8581.4,363.61,363.61,826.27,288,688.07,3.06,1,15.71,1.04,52.32,1.02,0.97,0.98
3827,4.18,12,25376.85,2089.29,7744.78,225.68,225.68,686.15,288,629.77,2.27,1,11.7,1.03,36.85,0.67,0.97,0.98
3828,2.12,6,3913.76,1364.74,6855.48,30.77,30.77,519.88,288,563.33,1.23,1,6.64,1.02,10.87,0.16,0.97,0.98
3829,3.13,9,8680.53,1429.95,7224.64,66.15,66.15,583.27,288,583.99,1.42,1,7.65,1.02,14.85,0.25,0.97,0.98
3830,4.15,12,14911.16,1619.51,7786.47,116.46,116.46,650.41,288,610.51,1.71,1,9.19,1.02,18.47,0.37,0.97,0.98
3831,5.16,15,22048.69,1926.42,8360.48,178.43,178.43,713.95,288,639.75,2.08,1,11.11,1.03,25.87,0.51,0.97,0.98
3832,6.15,18,30137.13,2303.29,8812.24,251.26,251.26,776.79,288,667.91,2.52,1,13.32,1.03,34.91,0.69,0.97,0.98
3833,7.18,21,39924.6,2691.03,9087.16,338.86,338.86,849.42,288,699.63,3.02,1,15.78,1.04,46.73,0.93,0.97,0.98
3834,8.22,24,54250.52,3108.68,9402.73,471.77,471.77,951.85,288,736.79,3.69,1,18.91,1.04,65.28,1.29,0.97,0.98
3835,6.21,18,41642.14,2677.09,8589.88,364.17,364.17,831.91,288,689.43,3.07,1,15.76,1.04,50.43,1.03,0.97,0.98
3836,4.18,12,25611.55,2100.39,7754.33,226.36,226.36,691.26,288,631.09,2.28,1,11.75,1.03,34.65,0.68,0.97,0.98
3837,2.12,6,4148.11,1375.83,6865.6,31.48,31.48,525.01,288,564.64,1.24,1,6.69,1.02,8.7,0.16,0.97,0.98
3838,3.13,9,8668.03,1430.55,7227.36,66.26,66.26,581.82,288,583.78,1.42,1,7.64,1.02,14.49,0.25,0.97,0.98
3839,4.15,12,14911.26,1619.51,7788.29,116.46,116.46,649.52,288,610.35,1.71,1,9.18,1.02,18.43,0.36,0.97,0.98
3840,5.16,15,22048.89,1926.41,8361.79,178.42,178.42,712.97,288,639.57,2.08,1,11.1,1.03,25.81,0.51,0.97,0.98
3841,6.15,18,30137.2,2303.28,8813.06,251.25,251.25,775.76,288,667.72,2.52,1,13.31,1.03,34.84,0.69,0.97,0.98
3842,7.18,21,39924.49,2691.02,9087.81,338.83,338.83,848.36,288,699.44,3.02,1,15.76,1.04,46.65,0.92,0.97,0.98
3843,8.22,24,54250.64,3108.68,9403.31,471.68,471.68,950.86,288,736.63,3.68,1,18.89,1.04,65.19,1.29,0.97,0.98
3844,6.21,18,41769.45,2680.73,8593.7,364.29,364.29,834.84,288,690.03,3.08,1,15.77,1.04,50.36,1.03,0.97,0.99
3845,4.18,12,25720.46,2104.92,7759.43,226.66,226.66,693.33,288,631.61,2.28,1,11.76,1.03,34.11,0.68,0.97,0.99
3846,2.12,6,4256.73,1380.37,6871.3,31.86,31.86,527.1,288,565.17,1.25,1,6.71,1.02,8.17,0.16,0.97,0.99
3847,3.13,9,8649.66,1431.45,7230.3,66.42,66.42,580.05,288,583.55,1.42,1,7.63,1.02,13.96,0.24,0.97,0.99
3848,4.15,12,14911.47,1619.51,7790.12,116.46,116.46,648.64,288,610.19,1.71,1,9.17,1.02,18.38,0.36,0.97,0.99
3849,5.16,15,22049.13,1926.41,8363.1,178.43,178.43,711.99,288,639.38,2.08,1,11.08,1.03,25.75,0.51,0.97,0.99
3850,6.15,18,30137.25,2303.28,8813.87,251.26,251.26,774.73,288,667.53,2.52,1,13.29,1.03,34.77,0.69,0.97,0.99
3851,7.18,21,39924.41,2691.01,9088.46,338.82,338.82,847.3,288,699.26,3.02,1,15.74,1.04,46.57,0.92,0.97,0.99
3852,8.22,24,54250.9,3108.68,9403.88,471.73,471.73,949.88,288,736.47,3.68,1,18.87,1.04,65.09,1.29,0.97,0.99
3853,6.21,18,42053.28,2685.95,8598.69,364.66,364.66,842.55,288,691.44,3.09,1,15.81,1.04,50.29,1.04,0.97,0.99
3854,4.18,12,25997.95,2110.79,7765.53,227.16,227.16,700.7,288,633,2.3,1,11.81,1.03,33.73,0.69,0.97,0.99
3855,2.12,6,4533.81,1386.24,6877.98,32.29,32.29,534.5,288,566.55,1.26,1,6.77,1.02,7.82,0.17,0.97,0.99
3856,3.13,9,8643.37,1432.09,7233.07,66.53,66.53,578.8,288,583.38,1.41,1,7.62,1.02,13.59,0.24,0.97,0.99
3857,4.15,12,14911.57,1619.51,7791.94,116.46,116.46,647.76,288,610.03,1.71,1,9.16,1.02,18.34,0.36,0.97,0.99
3858,5.16,15,22049.32,1926.4,8364.41,178.42,178.42,711.02,288,639.19,2.08,1,11.07,1.03,25.7,0.51,0.97,0.99
3859,6.15,18,30137.24,2303.27,8814.68,251.22,251.22,773.7,288,667.34,2.52,1,13.28,1.03,34.71,0.69,0.97,0.99
3860,7.18,21,39924.35,2691.01,9089.11,338.78,338.78,846.25,288,699.08,3.02,1,15.73,1.04,46.48,0.92,0.97,0.99
3861,8.22,24,54251.14,3108.68,9404.46,471.69,471.69,948.9,288,736.31,3.68,1,18.85,1.04,65,1.29,0.97,0.99
3862,6.21,18,42216,2687.56,8601.13,364.76,364.76,846.58,288,692.11,3.1,1,15.83,1.04,50.22,1.05,0.97,0.99
3863,4.18,12,26167.98,2112,7768.43,227.2,227.2,705.23,288,633.71,2.3,1,11.83,1.03,33.87,0.69,0.97,0.99
3864,2.12,6,4703.46,1387.45,6881.46,32.32,32.32,539.06,288,567.26,1.26,1,6.8,1.02,7.98,0.18,0.97,0.99
3865,3.13,9,8650.68,1431.69,7235.18,66.45,66.45,578.4,288,583.26,1.42,1,7.61,1.02,13.74,0.24,0.97,0.99
3866,4.15,12,14911.65,1619.52,7793.76,116.46,116.46,646.88,288,609.86,1.71,1,9.15,1.02,18.3,0.36,0.97,0.99
3867,5.16,15,22049.51,1926.4,8365.72,178.42,178.42,710.04,288,639.01,2.08,1,11.06,1.03,25.64,0.51,0.97,0.99
3868,6.15,18,30137.31,2303.27,8815.5,251.22,251.22,772.68,288,667.15,2.52,1,13.26,1.03,34.64,0.69,0.97,0.99
3869,7.18,21,39924.34,2691.01,9089.76,338.83,338.83,845.2,288,698.89,3.02,1,15.71,1.04,46.4,0.92,0.97,0.99
3870,8.22,24,54251.2,3108.68,9405.03,471.8,471.8,947.92,288,736.15,3.68,1,18.83,1.04,64.91,1.29,0.97,0.99
3871,6.21,18,42426.84,2688.37,8603.06,364.91,364.91,852.04,288,692.99,3.1,1,15.86,1.04,50.16,1.05,0.97,0.99
3872,4.18,12,26378.8,2114.25,7771.96,227.55,227.55,710.19,288,634.61,2.31,1,11.87,1.03,33.06,0.7,0.97,0.99
3873,2.12,6,4914.15,1389.69,6885.59,32.63,32.63,544.05,288,568.16,1.27,1,6.84,1.02,7.2,0.18,0.97,0.99
3874,3.13,9,8650.71,1433.13,7238.44,66.72,66.72,577,288,583.12,1.42,1,7.6,1.02,12.94,0.24,0.97,0.99
3875,4.15,12,14911.79,1619.52,7795.58,116.47,116.47,646.01,288,609.7,1.71,1,9.15,1.02,18.25,0.36,0.97,0.99
3876,5.16,15,22049.67,1926.39,8367.03,178.43,178.43,709.07,288,638.82,2.08,1,11.05,1.03,25.58,0.51,0.97,0.99
3877,6.15,18,30137.31,2303.27,8816.31,251.22,251.22,771.66,288,666.96,2.52,1,13.25,1.03,34.57,0.68,0.97,0.99
3878,7.18,21,39924.26,2691,9090.4,338.81,338.81,844.15,288,698.71,3.02,1,15.69,1.04,46.32,0.92,0.97,0.99
3879,8.22,24,54251.18,3108.68,9405.6,471.76,471.76,946.94,288,736,3.68,1,18.81,1.04,64.81,1.28,0.97,0.99
3880,6.21,18,42790.39,2687.09,8603.7,364.81,364.81,861.91,288,694.32,3.11,1,15.9,1.04,50.09,1.06,0.97,0.99
3881,4.18,12,26739.66,2112.99,7773.33,227.46,227.46,720.07,288,635.93,2.32,1,11.92,1.03,32.99,0.71,0.97,0.99
3882,2.12,6,5274.87,1388.43,6887.54,32.56,32.56,553.95,288,569.48,1.28,1,6.9,1.02,7.15,0.2,0.97,0.99
3883,3.13,9,8648.06,1433.14,7240.82,66.73,66.73,576.11,288,582.96,1.42,1,7.6,1.02,12.88,0.24,0.97,0.99
3884,4.15,12,14911.88,1619.52,7797.41,116.47,116.47,645.13,288,609.54,1.71,1,9.14,1.02,18.21,0.36,0.97,0.99
3885,5.16,15,22049.86,1926.39,8368.34,178.44,178.44,708.1,288,638.63,2.08,1,11.04,1.03,25.53,0.51,0.97,0.99
3886,6.15,18,30137.33,2303.26,8817.12,251.25,251.25,770.64,288,666.78,2.52,1,13.24,1.03,34.5,0.68,0.97,0.99
3887,7.18,21,39924.21,2690.99,9091.05,338.82,338.82,843.11,288,698.53,3.01,1,15.68,1.04,46.23,0.92,0.97,0.99
3888,8.22,24,54251.53,3108.68,9406.17,471.68,471.68,945.97,288,735.84,3.68,1,18.78,1.04,64.72,1.28,0.97,0.99
3889,6.21,18,43043.22,2684.74,8603.57,364.56,364.56,868.12,288,695.17,3.12,1,15.93,1.04,50.02,1.07,0.97,0.99
3890,4.18,12,26995.24,2110.64,7773.91,227.25,227.25,726.47,288,636.8,2.33,1,11.95,1.03,32.96,0.71,0.97,0.99
3891,2.12,6,5529.99,1386.09,6888.71,32.42,32.42,560.37,288,570.34,1.29,1,6.94,1.02,7.14,0.2,0.97,0.99
3892,3.13,9,8650.87,1433.16,7243.2,66.73,66.73,575.4,288,582.82,1.41,1,7.59,1.02,12.86,0.24,0.97,0.99
3893,4.15,12,14912.05,1619.52,7799.24,116.47,116.47,644.26,288,609.38,1.71,1,9.13,1.02,18.17,0.36,0.97,0.99
3894,5.16,15,22050.08,1926.39,8369.66,178.44,178.44,707.13,288,638.45,2.08,1,11.03,1.03,25.47,0.5,0.97,0.99
3895,6.15,18,30137.37,2303.26,8817.94,251.22,251.22,769.62,288,666.59,2.52,1,13.22,1.03,34.43,0.68,0.97,0.99
3896,7.18,21,39924.17,2690.99,9091.7,338.83,338.83,842.06,288,698.35,3.01,1,15.66,1.04,46.15,0.91,0.97,0.99
3897,8.22,24,54251.79,3108.67,9406.74,471.72,471.72,945,288,735.69,3.68,1,18.76,1.04,64.62,1.28,0.97,0.99
3898,6.21,18,43538.78,2677.5,8600.52,364.21,364.21,881.6,288,696.7,3.13,1,15.99,1.04,49.95,1.09,0.97,0.99
3899,4.18,12,27518.22,2105.25,7772.76,227.2,227.2,740.1,288,638.48,2.34,1,12.02,1.03,31.89,0.73,0.97,0.99
3900,2.12,6,6052.59,1380.7,6888.16,32.34,32.34,574.02,288,572.02,1.31,1,7.01,1.02,6.1,0.22,0.97,0.99
3901,3.13,9,8678.34,1435,7246.76,67.07,67.07,574.65,288,582.82,1.42,1,7.59,1.02,11.8,0.24,0.97,0.99
3902,4.15,12,14912.09,1619.52,7801.06,116.48,116.48,643.39,288,609.22,1.71,1,9.12,1.02,18.12,0.36,0.97,0.99
3903,5.16,15,22050.23,1926.38,8370.97,178.46,178.46,706.17,288,638.26,2.08,1,11.02,1.03,25.42,0.5,0.97,0.99
3904,6.15,18,30137.38,2303.26,8818.75,251.28,251.28,768.61,288,666.4,2.52,1,13.21,1.03,34.36,0.68,0.97,0.99
3905,7.18,21,39924.15,2690.99,9092.35,338.88,338.88,841.03,288,698.17,3.01,1,15.64,1.04,46.07,0.91,0.97,0.99
3906,8.22,24,54251.61,3108.68,9407.3,471.72,471.72,944.04,288,735.53,3.68,1,18.74,1.04,64.53,1.28,0.97,0.99
3907,6.21,18,43692.09,2670.6,8597.47,363.76,363.76,886.76,288,696.9,3.13,1,15.99,1.04,53.34,1.09,0.97,0.99
3908,4.18,12,27669.72,2098.29,7770.35,226.74,226.74,745.36,288,638.68,2.34,1,12.02,1.03,35.33,0.74,0.97,0.99
3909,2.12,6,6204.08,1373.73,6886.33,31.92,31.92,579.3,288,572.22,1.31,1,7.02,1.02,9.56,0.23,0.97,0.99
3910,3.13,9,8676.46,1434.94,7249.06,67.06,67.06,573.85,288,582.66,1.42,1,7.58,1.02,11.79,0.24,0.97,0.99
3911,4.15,12,14912.2,1619.52,7802.88,116.47,116.47,642.52,288,609.06,1.71,1,9.11,1.02,18.08,0.36,0.97,0.99
3912,5.16,15,22050.47,1926.38,8372.29,178.44,178.44,705.21,288,638.08,2.08,1,11.01,1.03,25.36,0.5,0.97,0.99
3913,6.15,18,30137.47,2303.25,8819.57,251.24,251.24,767.6,288,666.21,2.51,1,13.19,1.03,34.29,0.68,0.97,0.99
3914,7.18,21,39924.08,2690.98,9092.99,338.85,338.85,839.99,288,697.99,3.01,1,15.62,1.04,45.99,0.91,0.97,0.99
3915,8.22,24,54251.44,3108.68,9407.87,471.7,471.7,943.07,288,735.38,3.68,1,18.72,1.04,64.44,1.28,0.97,0.99
3916,6.21,18,43664.1,2666.54,8596.13,363.53,363.53,886.19,288,696.58,3.13,1,15.96,1.04,55.44,1.09,0.97,0.99
3917,4.18,12,27669.48,2095.09,7770.29,226.67,226.67,745.36,288,638.5,2.34,1,12.01,1.03,37.05,0.74,0.97,0.99
3918,2.12,6,6204,1370.53,6886.87,31.85,31.85,579.33,288,572.04,1.31,1,7.01,1.02,11.31,0.23,0.97,0.99
3919,3.13,9,8704.36,1435.8,7252,67.22,67.22,573.54,288,582.65,1.42,1,7.58,1.02,11.36,0.24,0.97,0.99
3920,4.15,12,14912.41,1619.52,7804.72,116.47,116.47,641.66,288,608.9,1.71,1,9.1,1.02,18.04,0.36,0.97,0.99
3921,5.16,15,22050.65,1926.38,8373.6,178.44,178.44,704.25,288,637.9,2.08,1,10.99,1.03,25.3,0.5,0.97,0.99
3922,6.15,18,30137.52,2303.25,8820.38,251.21,251.21,766.6,288,666.03,2.51,1,13.18,1.03,34.22,0.68,0.97,0.99
3923,7.18,21,39924.07,2690.98,9093.64,338.77,338.77,838.96,288,697.81,3.01,1,15.61,1.04,45.91,0.91,0.97,0.99
3924,8.22,24,54252.01,3108.67,9408.44,471.66,471.66,942.12,288,735.23,3.68,1,18.7,1.04,64.35,1.27,0.97,0.99
3925,6.21,18,43362.73,2659.1,8592.45,363.1,363.1,879.34,288,695.23,3.12,1,15.89,1.04,58.61,1.09,0.97,0.99
3926,4.18,12,27400.14,2088.52,7767.9,226.45,226.45,739.22,288,637.31,2.33,1,11.94,1.03,39.79,0.73,0.97,0.99
3927,2.12,6,5933.98,1363.97,6885.07,31.6,31.6,573.21,288,570.85,1.3,1,6.96,1.02,14.07,0.23,0.97,1
3928,3.13,9,8736.42,1436.67,7254.95,67.38,67.38,573.36,288,582.66,1.42,1,7.58,1.02,10.87,0.24,0.97,1
3929,4.15,12,14912.45,1619.52,7806.54,116.49,116.49,640.8,288,608.74,1.71,1,9.09,1.02,17.99,0.36,0.97,1
3930,5.16,15,22050.78,1926.37,8374.91,178.48,178.48,703.29,288,637.71,2.08,1,10.98,1.03,25.25,0.5,0.97,1
3931,6.15,18,30137.49,2303.25,8821.19,251.28,251.28,765.59,288,665.84,2.51,1,13.17,1.03,34.16,0.68,0.97,1
3932,7.18,21,39924.01,2690.97,9094.28,338.87,338.87,837.93,288,697.63,3.01,1,15.59,1.04,45.82,0.91,0.97,1
3933,8.22,24,54252.02,3108.68,9409,471.7,471.7,941.16,288,735.07,3.68,1,18.68,1.04,64.25,1.27,0.97,1
3934,6.21,18,42576.8,2653.04,8589.12,362.78,362.78,859.07,288,692.05,3.09,1,15.73,1.04,60.39,1.06,0.97,1
3935,4.18,12,26641.07,2083,7765.62,226.18,226.18,719.7,288,634.28,2.31,1,11.8,1.03,41.38,0.71,0.97,1
3936,2.12,6,5174.77,1358.45,6883.39,31.36,31.36,553.71,288,567.81,1.27,1,6.82,1.02,15.68,0.2,0.97,1
3937,3.13,9,8763.34,1437.21,7257.66,67.48,67.48,573.21,288,582.66,1.42,1,7.58,1.02,10.63,0.24,0.97,1
3938,4.15,12,14912.63,1619.52,7808.38,116.49,116.49,639.94,288,608.58,1.71,1,9.08,1.02,17.95,0.36,0.97,1
3939,5.16,15,22051.02,1926.37,8376.23,178.47,178.47,702.34,288,637.53,2.08,1,10.97,1.03,25.19,0.5,0.97,1
3940,6.15,18,30137.58,2303.24,8822,251.25,251.25,764.59,288,665.65,2.51,1,13.15,1.03,34.09,0.67,0.97,1
3941,7.18,21,39923.99,2690.97,9094.93,338.79,338.79,836.91,288,697.45,3.01,1,15.57,1.04,45.74,0.91,0.97,1
3942,8.22,24,54252.11,3108.68,9409.57,471.73,471.73,940.21,288,734.92,3.67,1,18.66,1.04,64.16,1.27,0.97,1
3943,6.21,18,42072.31,2652.83,8589.66,362.81,362.81,843.82,288,689.76,3.08,1,15.63,1.04,59.77,1.04,0.97,1
3944,4.18,12,26138.54,2082.84,7766.9,226.27,226.27,704.64,288,632,2.29,1,11.7,1.03,40.85,0.69,0.97,1
3945,2.12,6,4672.04,1358.29,6885.26,31.36,31.36,538.67,288,565.54,1.26,1,6.72,1.02,15.18,0.19,0.97,1
3946,3.13,9,8765.29,1437.25,7260.07,67.49,67.49,572.52,288,582.52,1.42,1,7.57,1.02,10.65,0.23,0.97,1
3947,4.15,12,14912.71,1619.52,7810.21,116.48,116.48,639.08,288,608.42,1.71,1,9.07,1.02,17.91,0.35,0.97,1
3948,5.16,15,22051.19,1926.37,8377.55,178.44,178.44,701.39,288,637.35,2.08,1,10.96,1.03,25.14,0.5,0.97,1
3949,6.15,18,30137.63,2303.24,8822.82,251.25,251.25,763.59,288,665.47,2.51,1,13.14,1.03,34.02,0.67,0.97,1
3950,7.18,21,39923.98,2690.97,9095.58,338.83,338.83,835.88,288,697.27,3.01,1,15.56,1.04,45.66,0.9,0.97,1
3951,8.22,24,54252.01,3108.68,9410.12,471.78,471.78,939.25,288,734.77,3.67,1,18.64,1.04,64.07,1.27,0.97,1
3952,6.21,18,41784.65,2654.03,8591.27,362.9,362.9,833.6,288,688.15,3.07,1,15.55,1.04,58.64,1.03,0.97,1
3953,4.18,12,25898.81,2084.94,7769.8,226.49,226.49,695.66,288,630.6,2.28,1,11.64,1.03,39.18,0.68,0.97,1
3954,2.12,6,4432.35,1360.38,6888.77,31.58,31.58,529.72,288,564.12,1.25,1,6.67,1.02,13.53,0.17,0.97,1
3955,3.13,9,8813.3,1438.16,7263.03,67.66,67.66,572.89,288,582.56,1.42,1,7.57,1.02,10.06,0.23,0.97,1
3956,4.15,12,14912.84,1619.53,7812.04,116.49,116.49,638.22,288,608.26,1.71,1,9.06,1.02,17.87,0.35,0.97,1
3957,5.16,15,22051.38,1926.37,8378.86,178.46,178.46,700.44,288,637.17,2.08,1,10.95,1.03,25.08,0.5,0.97,1
3958,6.15,18,30137.68,2303.24,8823.63,251.27,251.27,762.6,288,665.28,2.51,1,13.13,1.03,33.95,0.67,0.97,1
3959,7.18,21,39923.94,2690.96,9096.22,338.85,338.85,834.86,288,697.1,3.01,1,15.54,1.04,45.58,0.9,0.97,1
3960,8.22,24,54252.19,3108.68,9410.68,471.7,471.7,938.31,288,734.62,3.67,1,18.61,1.04,63.98,1.27,0.97,1
3961,6.21,18,41454.83,2658.46,8594.85,363.06,363.06,819.7,288,686.22,3.06,1,15.46,1.04,55.56,1.01,0.97,1
3962,4.18,12,25625.07,2090.23,7774.64,226.8,226.8,683.33,288,628.93,2.27,1,11.56,1.03,35.69,0.67,0.97,1
3963,2.12,6,4158.31,1365.68,6894.2,31.99,31.99,517.41,288,562.45,1.24,1,6.6,1.02,10.07,0.16,0.97,1
3964,3.13,9,8869.41,1439.02,7265.94,67.83,67.83,573.58,288,582.68,1.42,1,7.58,1.02,9.6,0.24,0.97,1
3965,4.15,12,14912.99,1619.53,7813.87,116.49,116.49,637.36,288,608.1,1.71,1,9.05,1.02,17.82,0.35,0.97,1
3966,5.16,15,22051.59,1926.36,8380.18,178.45,178.45,699.5,288,636.98,2.08,1,10.94,1.03,25.03,0.5,0.97,1
3967,6.15,18,30137.74,2303.23,8824.44,251.22,251.22,761.6,288,665.1,2.51,1,13.11,1.03,33.88,0.67,0.97,1
3968,7.18,21,39923.89,2690.96,9096.86,338.8,338.8,833.85,288,696.92,3.01,1,15.52,1.04,45.5,0.9,0.97,1
3969,8.22,24,54252.11,3108.68,9411.24,471.71,471.71,937.36,288,734.47,3.67,1,18.59,1.04,63.88,1.26,0.97,1
3970,6.21,18,41386.95,2665.07,8600.2,363.47,363.47,812.96,288,685.65,3.05,1,15.43,1.04,51.48,1,0.97,1
3971,4.18,12,25613.23,2097.62,7781.2,227.38,227.38,678.27,288,628.64,2.27,1,11.55,1.03,31.65,0.66,0.97,1
3972,2.12,6,4146.46,1373.07,6901.37,32.49,32.49,512.37,288,562.16,1.24,1,6.59,1.02,6.04,0.15,0.97,1
3973,3.13,9,8925.47,1439.81,7268.82,67.97,67.97,574.37,288,582.81,1.43,1,7.58,1.02,9.58,0.24,0.97,1
3974,4.15,12,14913.01,1619.53,7815.7,116.48,116.48,636.51,288,607.94,1.71,1,9.05,1.02,17.78,0.35,0.97,1
3975,5.16,15,22051.67,1926.36,8381.5,178.46,178.46,698.55,288,636.8,2.08,1,10.93,1.03,24.97,0.49,0.97,1
3976,6.15,18,30137.71,2303.23,8825.25,251.23,251.23,760.61,288,664.92,2.51,1,13.1,1.03,33.82,0.67,0.97,1
3977,7.18,21,39923.85,2690.96,9097.51,338.79,338.79,832.83,288,696.74,3.01,1,15.51,1.04,45.42,0.9,0.97,1
3978,8.22,24,54252.16,3108.68,9411.8,471.64,471.64,936.42,288,734.32,3.67,1,18.57,1.04,63.79,1.26,0.97,1
3979,6.21,18,41751.45,2658.76,8575.59,363.06,363.06,834.24,288,688.79,3.07,1,15.54,1.04,57.06,1.03,0.97,0.99
3980,4.18,12,25984.3,2078.18,7726.28,224.59,224.59,710.94,288,632.86,2.28,1,11.71,1.03,44.44,0.7,0.97,0.98
3981,2.12,6,4516.43,1353.62,6824.09,29.75,29.75,551.84,288,567.57,1.25,1,6.83,1.02,19.14,0.2,0.97,0.98
3982,3.13,9,8930.38,1426.66,7199.14,65.56,65.56,599.06,288,586.25,1.43,1,7.76,1.02,17.37,0.26,0.97,0.98
3983,4.15,12,14909.9,1619.5,7768.31,116.45,116.45,657.98,288,611.76,1.71,1,9.28,1.02,18.85,0.37,0.97,0.98
3984,5.16,15,22038.65,1926.23,8347.03,178.32,178.32,722.36,288,641.2,2.08,1,11.21,1.03,26.35,0.52,0.97,0.98
3985,6.15,18,30129.03,2303.09,8803.81,251.15,251.15,785.58,288,669.36,2.52,1,13.45,1.03,35.51,0.7,0.97,0.98
3986,7.18,21,39916.49,2690.8,9080.4,338.76,338.76,858.38,288,701.01,3.02,1,15.94,1.04,47.45,0.94,0.97,0.98
3987,8.22,24,54248.72,3108.62,9396.8,471.7,471.7,959.99,288,737.93,3.69,1,19.12,1.04,65.97,1.31,0.97,0.98
3988,6.21,18,41468.19,2664.88,8569.34,363.41,363.41,836.41,288,689.5,3.07,1,15.88,1.04,54.44,1.04,0.97,0.98
3989,4.18,12,25663.11,2084.58,7724.58,224.94,224.94,703.17,288,632.12,2.28,1,11.87,1.03,40.82,0.7,0.97,0.98
3990,2.12,6,4202.17,1360.03,6830.32,30.13,30.13,536.91,288,565.71,1.24,1,6.75,1.02,14.79,0.18,0.97,0.98
3991,3.13,9,8892.35,1426.91,7201.64,65.6,65.6,596.96,288,585.93,1.42,1,7.75,1.02,17.15,0.26,0.97,0.98
3992,4.15,12,14910.05,1619.5,7770.12,116.46,116.46,657.07,288,611.6,1.71,1,9.27,1.02,18.81,0.37,0.97,0.98
3993,5.16,15,22039.26,1926.25,8348.35,178.34,178.34,721.35,288,641.01,2.08,1,11.2,1.03,26.29,0.52,0.97,0.98
3994,6.15,18,30129.44,2303.11,8804.64,251.18,251.18,784.52,288,669.17,2.52,1,13.43,1.03,35.44,0.7,0.97,0.98
3995,7.18,21,39917.07,2690.83,9081.06,338.79,338.79,857.3,288,700.82,3.02,1,15.92,1.04,47.37,0.94,0.97,0.98
3996,8.22,24,54249.29,3108.63,9397.38,471.8,471.8,958.98,288,737.76,3.69,1,19.09,1.04,65.91,1.31,0.97,0.98
3997,6.21,18,41611.94,2675.19,8577.55,364.08,364.08,837.51,288,690.18,3.08,1,15.9,1.04,51.2,1.04,0.97,0.98
3998,4.18,12,25716.34,2095.65,7733.97,225.74,225.74,701.37,288,632.39,2.29,1,11.87,1.03,37.15,0.69,0.97,0.98
3999,2.12,6,4254.93,1371.1,6840.27,30.86,30.86,535.13,288,565.99,1.24,1,6.76,1.02,11.1,0.17,0.97,0.98
4000,3.13,9,8802.16,1427.68,7204.46,65.73,65.73,593.14,288,585.36,1.42,1,7.72,1.02,16.66,0.26,0.97,0.98
4001,4.15,12,14910.18,1619.5,7771.93,116.45,116.45,656.17,288,611.43,1.71,1,9.26,1.02,18.76,0.37,0.97,0.98
4002,5.16,15,22040.08,1926.27,8349.68,178.33,178.33,720.35,288,640.83,2.08,1,11.19,1.03,26.24,0.52,0.97,0.98
4003,6.15,18,30130.05,2303.14,8805.48,251.15,251.15,783.47,288,668.98,2.52,1,13.42,1.03,35.37,0.7,0.97,0.98
4004,7.18,21,39917.85,2690.86,9081.73,338.74,338.74,856.23,288,700.63,3.02,1,15.9,1.04,47.28,0.94,0.97,0.98
4005,8.22,24,54249.64,3108.65,9397.96,471.69,471.69,957.98,288,737.6,3.69,1,19.07,1.04,65.85,1.3,0.97,0.98
4006,6.21,18,42013.78,2684.91,8585.66,364.58,364.58,848.59,288,692.32,3.1,1,15.97,1.04,50.82,1.05,0.97,0.98
4007,4.18,12,26091.07,2105.63,7742.96,226.32,226.32,711.63,288,634.44,2.3,1,11.95,1.03,36.48,0.7,0.97,0.98
4008,2.12,6,4629.43,1381.08,6849.83,31.48,31.48,545.43,288,568.04,1.26,1,6.84,1.02,10.42,0.18,0.97,0.98
4009,3.13,9,8775.31,1427.95,7206.99,65.78,65.78,591.41,288,585.11,1.42,1,7.71,1.02,16.31,0.26,0.97,0.98
4010,4.15,12,14910.22,1619.51,7773.74,116.44,116.44,655.27,288,611.27,1.71,1,9.25,1.02,18.72,0.37,0.97,0.98
